interval,mean_bsi,bsi_score,bsi_trend
2023-01-01T00:00:00Z,0.23097817710444826,bare soil,N/A
2023-02-01T00:00:00Z,0.2071596487281816,bare soil,Decreased
2023-03-01T00:00:00Z,0.23822471696411998,bare soil,Increased
2023-04-01T00:00:00Z,-0.12024964306052364,vegetated soil,Decreased
2023-05-01T00:00:00Z,0.2403728128341161,bare soil,Increased
2023-06-01T00:00:00Z,-0.05732499646311566,vegetated soil,Decreased
2023-07-01T00:00:00Z,-0.09358705382898208,vegetated soil,Decreased
2023-08-01T00:00:00Z,0.026262162476110466,bare soil,Increased
2023-09-01T00:00:00Z,-0.012614910353543486,vegetated soil,Decreased
2023-10-01T00:00:00Z,0.16378447000119956,bare soil,Increased
2023-11-01T00:00:00Z,-0.04844653543670239,vegetated soil,Decreased
